Frame	Rg	I(sum)
346	nan	0.275225
347	nan	0.261592
348	nan	0.343276
349	nan	0.340006
350	nan	0.35869
351	nan	0.383109
352	nan	0.414848
353	nan	0.450383
354	nan	0.491564
355	nan	0.499705
356	nan	0.52503
357	57.8118	0.569901
358	nan	0.613409
359	55.7173	0.576063
360	55.5684	0.709347
361	55.9164	0.750479
362	50.1043	0.703987
363	53.0523	0.799035
364	53.1383	0.819022
365	55.6034	0.856351
366	52.8724	0.857912
367	50.3115	0.877379
368	54.1105	0.93855
369	51.5558	0.97494
370	51.2873	0.976973
371	49.1923	0.95986
372	51.0324	1.02396
373	51.4443	1.1052
374	51.557	1.19882
375	49.5011	1.18832
376	47.5052	1.28421
377	48.1589	1.3838
378	47.9741	1.44522
379	44.3094	1.51845
380	43.3619	1.60554
381	45.4203	1.71009
382	44.8062	1.8426
383	44.9388	1.96937
384	44.9367	2.06743
385	44.3797	2.22027
386	44.5497	2.31227
387	44.2773	2.44698
388	42.0894	2.48565
389	43.4633	2.55227
390	41.8883	2.6546
391	41.7024	2.70715
392	41.7284	2.72849
393	42.346	2.74783
394	42.6408	2.72571
395	42.2415	2.66916
396	42.0328	2.68097
397	42.427	2.68874
398	41.1904	2.56137
399	42.2499	2.50567
400	43.1957	2.38089
401	41.8387	2.33027
402	41.6647	2.22748
403	41.923	2.16823
404	41.2184	2.118
405	41.9957	2.033
406	41.8971	2.02406
407	42.7085	1.97677
408	39.4971	2.03575
409	39.1151	2.08531
410	39.8619	2.11934
411	38.0687	2.24117
412	37.8862	2.29271
413	36.3637	2.35216
414	36.8032	2.46116
415	35.7166	2.54064
416	35.3842	2.68666
417	35.8688	2.82807
418	33.8893	3.0488
419	33.7018	3.32788
420	33.6835	3.67285
421	32.2468	4.1662
422	30.4704	4.61749
423	29.8415	5.18863
424	29.6627	5.85155
425	29.7155	6.59052
426	30.005	7.3617
427	28.4655	8.08036
428	28.5608	8.79911
429	28.526	9.58782
430	28.245	10.2086
431	27.4695	10.792
432	27.366	11.1459
433	28.1758	11.4123
434	28.123	11.4291
435	28.1718	11.2564
436	27.9739	11.0008
437	28.1937	10.7162
438	27.7839	10.5199
439	27.7044	10.1596
440	27.0509	9.87251
441	27.7976	9.4861
442	28.1817	9.16892
443	27.7218	8.63091
444	27.588	8.18982
445	27.864	7.68086
446	28.3881	7.31045
447	27.5136	6.74363
448	27.0986	6.27968
449	27.5261	5.87054
450	28.9997	5.37396
451	29.4463	4.84285
452	26.9752	4.4361
453	27.5098	4.03543
454	28.1856	3.64151
455	27.5233	3.29297
456	27.472	2.9129
457	29.0817	2.66066
458	27.6775	2.34913
459	28.5543	2.08297
460	26.8514	1.8388
461	29.7712	1.69956
462	27.2417	1.53652
463	29.2337	1.44889
464	32.4336	1.33658
465	27.3056	1.19804
466	34.6781	1.0971
467	30.6354	1.02545
468	25.0157	0.916783
469	26.9574	0.835443
470	26.1399	0.787097
471	nan	0.794741
472	25.5185	0.731855
473	22.9313	0.66557
474	35.0468	0.695812
475	nan	0.571498
476	nan	0.555474
477	32.6588	0.60278
478	nan	0.551223
479	nan	0.521808
480	nan	0.462846
481	nan	0.45988
482	32.3305	0.427706
483	nan	0.468154
484	nan	0.41946
485	nan	0.445491
486	nan	0.365369
487	nan	0.370692
488	nan	0.354263
489	nan	0.298759
490	nan	0.317964
491	nan	0.307516
492	nan	0.230596
493	nan	0.263278
494	nan	0.270854
495	nan	0.252692
496	nan	0.259038
497	nan	0.243218
498	nan	0.25053
499	nan	0.216146
500	nan	0.208029
501	nan	0.167955
502	nan	0.198754
503	nan	0.177547
504	nan	0.124718
505	nan	0.147632
506	nan	0.130752
507	nan	0.103978
508	nan	0.159887
509	nan	0.113176
510	nan	0.120247
511	nan	0.0662447
512	nan	0.0642262
513	nan	0.0971428
514	nan	0.0438393
515	nan	0.100426
516	nan	0.100476
517	nan	0.0546465
518	nan	0.0605277
519	nan	0.0433935
520	nan	0.088611
521	nan	0.0959392
522	nan	0.0579543
523	nan	0.00479248
524	nan	0.0499489
525	nan	0.040607
526	nan	0.0306432
527	nan	0.0784123
528	nan	0.0494526
529	nan	0.0222914
530	nan	0.00970523
531	nan	0.0353135
532	nan	0.0755035
533	nan	0.0106065
534	nan	-0.00246163
535	nan	-0.05532
536	nan	-0.0111462
537	nan	-0.0175043
538	nan	-0.0120633
539	nan	-0.0358643
540	nan	-0.0571462
541	nan	-0.041384
542	nan	-0.0603859
543	nan	-0.0268974
544	nan	-0.0831078
545	nan	-0.0797899
546	nan	-0.0682488
547	nan	-0.0977625
548	nan	-0.110072
549	nan	-0.140608
550	nan	-0.102275
551	nan	-0.056268
552	nan	-0.147412
553	nan	-0.114313
554	nan	-0.1098
555	nan	-0.140842
556	nan	-0.127592
557	nan	-0.112951
558	nan	-0.0826935
559	nan	-0.0877893
560	nan	-0.0651497
561	nan	-0.100539
562	nan	-0.0955262
563	nan	-0.0839336
564	nan	-0.0959431
565	nan	-0.0878976
566	nan	-0.127854
567	nan	-0.147271
568	nan	-0.109152
569	nan	-0.1034
570	nan	-0.080441
571	nan	-0.0883591
572	nan	-0.110805
573	nan	-0.110215
574	nan	-0.134647
575	nan	-0.134314
576	nan	-0.0929057
577	nan	-0.10441
578	nan	-0.136023
579	nan	-0.176848
580	nan	-0.127246
581	nan	-0.122724
582	nan	-0.129383
583	nan	-0.198815
584	nan	-0.17767
585	nan	-0.145002
586	nan	-0.187584
587	nan	-0.131587
588	nan	-0.218142
589	nan	-0.193409
590	nan	-0.136008
