Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 5.932377e-002  3.687003e-002  3.941797e-004
 5.956536e-002  3.643191e-002  3.936421e-004
 5.980695e-002  3.585652e-002  3.841279e-004
 6.004854e-002  3.648915e-002  3.878315e-004
 6.029013e-002  3.471079e-002  3.829458e-004
 6.053172e-002  3.543170e-002  3.832188e-004
 6.077330e-002  3.461570e-002  3.801758e-004
 6.101489e-002  3.493224e-002  3.812758e-004
 6.125648e-002  3.451439e-002  3.806730e-004
 6.149807e-002  3.362785e-002  3.737636e-004
 6.173966e-002  3.415955e-002  3.850721e-004
 6.198125e-002  3.226200e-002  3.802252e-004
 6.222283e-002  3.299400e-002  3.790879e-004
 6.246442e-002  3.275267e-002  3.747779e-004
 6.270601e-002  3.335558e-002  3.812303e-004
 6.294760e-002  3.200367e-002  3.796809e-004
 6.318919e-002  3.243045e-002  3.802712e-004
 6.343078e-002  3.246597e-002  3.774427e-004
 6.367237e-002  3.171430e-002  3.753697e-004
 6.391395e-002  3.176415e-002  3.756030e-004
 6.415554e-002  3.185294e-002  3.712782e-004
 6.439713e-002  3.098112e-002  3.732645e-004
 6.463872e-002  3.051288e-002  3.657397e-004
 6.488031e-002  3.128924e-002  3.709758e-004
 6.512190e-002  3.006883e-002  3.603661e-004
 6.536349e-002  2.908327e-002  3.602733e-004
 6.560507e-002  2.995642e-002  3.618642e-004
 6.584666e-002  2.880460e-002  3.573930e-004
 6.608825e-002  2.936710e-002  3.586436e-004
 6.632984e-002  2.903451e-002  3.571358e-004
 6.657143e-002  2.844305e-002  3.529048e-004
 6.681302e-002  2.902728e-002  3.576342e-004
 6.705461e-002  2.826617e-002  3.531212e-004
 6.729619e-002  2.801259e-002  3.513779e-004
 6.753778e-002  2.773638e-002  3.488139e-004
 6.777937e-002  2.678017e-002  3.488148e-004
 6.802096e-002  2.674578e-002  3.443312e-004
 6.826255e-002  2.672062e-002  3.445103e-004
 6.850414e-002  2.675708e-002  3.442627e-004
 6.874572e-002  2.581322e-002  3.457270e-004
 6.898731e-002  2.607880e-002  3.423382e-004
 6.922890e-002  2.569143e-002  3.414694e-004
 6.947049e-002  2.530315e-002  3.392921e-004
 6.971208e-002  2.543362e-002  3.374309e-004
 6.995367e-002  2.472522e-002  3.398345e-004
 7.019526e-002  2.535689e-002  3.404552e-004
 7.043684e-002  2.489076e-002  3.421670e-004
 7.067843e-002  2.456952e-002  3.428697e-004
 7.092002e-002  2.375227e-002  3.383024e-004
 7.116161e-002  2.393197e-002  3.391124e-004
 7.140320e-002  2.376592e-002  3.412021e-004
 7.164479e-002  2.291988e-002  3.417127e-004
 7.188638e-002  2.361379e-002  3.392127e-004
 7.212797e-002  2.278732e-002  3.334342e-004
 7.236955e-002  2.308978e-002  3.338206e-004
 7.261114e-002  2.258128e-002  3.329142e-004
 7.285273e-002  2.221210e-002  3.281742e-004
 7.309432e-002  2.248837e-002  3.308282e-004
 7.333591e-002  2.180682e-002  3.276764e-004
 7.357750e-002  2.172239e-002  3.294645e-004
 7.381908e-002  2.193794e-002  3.250479e-004
 7.406067e-002  2.149587e-002  3.267379e-004
 7.430226e-002  2.076276e-002  3.234203e-004
 7.454385e-002  2.123834e-002  3.242036e-004
 7.478544e-002  2.110169e-002  3.201864e-004
 7.502703e-002  2.019805e-002  3.198452e-004
 7.526862e-002  2.034364e-002  3.164342e-004
 7.551020e-002  2.026280e-002  3.172000e-004
 7.575179e-002  2.073968e-002  3.203394e-004
 7.599338e-002  1.953329e-002  3.121203e-004
 7.623497e-002  2.008234e-002  3.175697e-004
 7.647656e-002  1.921052e-002  3.128470e-004
 7.671815e-002  1.920489e-002  3.124388e-004
 7.695974e-002  1.929685e-002  3.110982e-004
 7.720132e-002  1.888638e-002  3.093003e-004
 7.744291e-002  1.885172e-002  3.073064e-004
 7.768450e-002  1.834568e-002  3.063958e-004
 7.792609e-002  1.841650e-002  3.079988e-004
 7.816768e-002  1.803687e-002  3.035018e-004
 7.840927e-002  1.788779e-002  3.046936e-004
 7.865086e-002  1.809572e-002  3.038261e-004
 7.889244e-002  1.726423e-002  3.035836e-004
 7.913403e-002  1.751775e-002  3.020452e-004
 7.937562e-002  1.752627e-002  3.038258e-004
 7.961721e-002  1.745095e-002  3.008434e-004
 7.985880e-002  1.689094e-002  3.024190e-004
 8.010039e-002  1.623656e-002  2.998333e-004
 8.034197e-002  1.651941e-002  2.973482e-004
 8.058356e-002  1.678962e-002  3.002176e-004
 8.082515e-002  1.591173e-002  2.976377e-004
 8.106674e-002  1.673569e-002  3.007328e-004
 8.130833e-002  1.550531e-002  2.939534e-004
 8.154992e-002  1.545594e-002  2.977915e-004
 8.179151e-002  1.518708e-002  2.955033e-004
 8.203309e-002  1.563995e-002  2.937539e-004
 8.227468e-002  1.555326e-002  2.942119e-004
 8.251627e-002  1.533719e-002  2.925480e-004
 8.275786e-002  1.500971e-002  2.928307e-004
 8.299945e-002  1.491812e-002  2.895548e-004
 8.324104e-002  1.427534e-002  2.908927e-004
 8.348263e-002  1.413367e-002  2.865364e-004
 8.372421e-002  1.443671e-002  2.872774e-004
 8.396580e-002  1.404458e-002  2.887575e-004
 8.420739e-002  1.438698e-002  2.876973e-004
 8.444898e-002  1.391606e-002  2.841079e-004
 8.469057e-002  1.405450e-002  2.820378e-004
